"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 07월 16일","94.51","94.69","94.77","94.41","-","-0.25%"
"2018년 07월 13일","94.75","94.89","95.24","94.67","-","-0.06%"
"2018년 07월 12일","94.81","94.70","94.94","94.64","-","0.10%"
"2018년 07월 11일","94.72","94.20","94.77","94.09","-","0.61%"
"2018년 07월 10일","94.15","94.06","94.47","94.02","-","0.07%"
"2018년 07월 09일","94.08","93.97","94.21","93.71","-","0.04%"
"2018년 07월 06일","94.04","94.36","94.49","93.92","-","-0.46%"
"2018년 07월 05일","94.47","94.51","94.59","94.18","-","-0.21%"
"2018년 07월 04일","94.67","94.52","94.71","94.40","-","0.00%"
"2018년 07월 03일","94.67","94.84","94.98","94.56","-","-0.38%"
"2018년 07월 02일","95.03","94.63","95.14","94.53","-","0.41%"
"2018년 06월 29일","94.64","95.30","95.32","94.47","-","-0.79%"
"2018년 06월 28일","95.39","95.27","95.53","95.09","-","0.13%"
"2018년 06월 27일","95.27","94.67","95.42","94.53","-","0.64%"
"2018년 06월 26일","94.66","94.29","94.77","94.17","-","0.40%"
"2018년 06월 25일","94.28","94.50","94.70","94.21","-","-0.25%"
"2018년 06월 22일","94.52","94.86","94.88","94.43","-","-0.23%"
"2018년 06월 21일","94.74","95.13","95.53","94.68","-","-0.34%"
"2018년 06월 20일","95.06","94.97","95.30","94.92","-","-0.02%"
"2018년 06월 19일","95.08","94.63","95.30","94.53","-","0.30%"
"2018년 06월 18일","94.80","94.79","95.05","94.70","-","0.01%"
"2018년 06월 15일","94.79","94.91","95.13","94.65","-","0.02%"
"2018년 06월 14일","94.77","93.50","94.93","93.19","-","1.13%"
"2018년 06월 13일","93.71","93.83","94.03","93.52","-","-0.10%"
"2018년 06월 12일","93.80","93.67","93.91","93.47","-","0.24%"
"2018년 06월 11일","93.58","93.54","93.68","93.37","-","0.03%"
"2018년 06월 08일","93.55","93.44","93.82","93.39","-","0.16%"
"2018년 06월 07일","93.40","93.58","93.59","93.21","-","-0.28%"
"2018년 06월 06일","93.66","93.88","93.89","93.42","-","-0.26%"
"2018년 06월 05일","93.90","94.06","94.32","93.78","-","-0.13%"
"2018년 06월 04일","94.02","94.16","94.19","93.66","-","-0.18%"
"2018년 06월 01일","94.19","93.95","94.45","93.88","-","0.22%"
"2018년 05월 31일","93.98","94.07","94.25","93.72","-","-0.18%"
"2018년 05월 30일","94.15","94.82","94.97","94.04","-","-0.72%"
"2018년 05월 29일","94.83","94.41","95.03","94.28","-","0.68%"
"2018년 05월 28일","94.19","94.25","94.50","93.86","-","0.00%"
"2018년 05월 25일","94.19","93.80","94.30","93.75","-","0.46%"
"2018년 05월 24일","93.76","93.90","93.98","93.61","-","-0.26%"
"2018년 05월 23일","94.00","93.55","94.19","93.51","-","0.42%"
"2018년 05월 22일","93.61","93.54","93.73","93.29","-","-0.07%"
"2018년 05월 21일","93.68","93.69","94.06","93.51","-","0.04%"
"2018년 05월 18일","93.64","93.50","93.83","93.34","-","0.18%"
"2018년 05월 17일","93.47","93.26","93.56","93.12","-","0.09%"
"2018년 05월 16일","93.39","93.31","93.63","93.14","-","0.18%"
"2018년 05월 15일","93.22","92.65","93.46","92.61","-","0.68%"
"2018년 05월 14일","92.59","92.55","92.69","92.24","-","0.05%"
"2018년 05월 11일","92.54","92.69","92.84","92.37","-","-0.12%"
"2018년 05월 10일","92.65","93.08","93.16","92.54","-","-0.42%"
"2018년 05월 09일","93.04","93.05","93.42","92.84","-","-0.09%"
"2018년 05월 08일","93.12","92.73","93.28","92.65","-","0.40%"
"2018년 05월 07일","92.75","92.57","92.97","92.45","-","0.19%"
"2018년 05월 04일","92.57","92.43","92.90","92.35","-","0.17%"
"2018년 05월 03일","92.41","92.72","92.76","92.34","-","-0.11%"
"2018년 05월 02일","92.51","92.47","92.83","92.22","-","0.06%"
"2018년 05월 01일","92.45","91.81","92.57","91.80","-","0.66%"
"2018년 04월 30일","91.84","91.53","91.92","91.48","-","0.33%"
"2018년 04월 27일","91.54","91.56","91.99","91.49","-","-0.02%"
"2018년 04월 26일","91.56","91.21","91.64","90.96","-","0.43%"
"2018년 04월 25일","91.17","90.76","91.26","90.75","-","0.44%"
"2018년 04월 24일","90.77","90.92","91.08","90.71","-","-0.20%"
"2018년 04월 23일","90.95","90.35","90.98","90.32","-","0.70%"
"2018년 04월 20일","90.32","89.90","90.48","89.89","-","0.42%"
"2018년 04월 19일","89.94","89.62","89.95","89.50","-","0.36%"
"2018년 04월 18일","89.62","89.50","89.78","89.45","-","0.11%"
"2018년 04월 17일","89.52","89.41","89.67","89.23","-","0.11%"
"2018년 04월 16일","89.42","89.77","89.85","89.39","-","-0.42%"
"2018년 04월 13일","89.80","89.76","89.88","89.66","-","0.06%"
"2018년 04월 12일","89.75","89.52","89.96","89.44","-","0.20%"
"2018년 04월 11일","89.57","89.58","89.67","89.36","-","-0.02%"
"2018년 04월 10일","89.59","89.83","89.97","89.54","-","-0.28%"
"2018년 04월 09일","89.84","90.07","90.27","89.82","-","-0.30%"
"2018년 04월 06일","90.11","90.38","90.60","90.07","-","-0.39%"
"2018년 04월 05일","90.46","90.09","90.59","90.07","-","0.36%"
"2018년 04월 04일","90.14","90.16","90.23","89.92","-","-0.07%"
"2018년 04월 03일","90.20","90.02","90.28","89.85","-","0.17%"
"2018년 04월 02일","90.05","89.97","90.15","89.82","-","0.09%"
"2018년 03월 30일","89.97","90.10","90.12","89.88","-","-0.20%"
